Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,21,4
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,137,5
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,24,6
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,22,7
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,222,8
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,12,9
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,3,10
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,79,11
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,135,12
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,53,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,72,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,39,3
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,19,4
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,77,5
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,20,6
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,26,7
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,125,8
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,11,9
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,2,10
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,47,11
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,66,12
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,107,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,189,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,58,3
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,30,4
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,206,5
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,28,6
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,42,7
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,243,8
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,22,9
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,5,10
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,97,11
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,97,12
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,115,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,140,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,79,3
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,41,4
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,173,5
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,44,6
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,39,7
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,219,8
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,11,9
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,2,10
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,48,11
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,43,12
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,148,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,176,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,71,3
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,32,4
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,189,5
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,37,6
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,44,7
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,191,8
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,16,9
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,1,10
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,45,11
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,50,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,90,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,86,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,39,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,16,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,135,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,30,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,27,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,133,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,7,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,32,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,27,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,134,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,150,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,66,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,29,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,202,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,44,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,29,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,193,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,9,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,3,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,53,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,53,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,104,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,89,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,33,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,32,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,127,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,12,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,20,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,141,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,9,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,3,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,26,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,34,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,84,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,119,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,37,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,23,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,134,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,27,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,27,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,132,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,10,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,39,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,39,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,95,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,106,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,38,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,14,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,151,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,21,6
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,34,7
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,142,8
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,11,9
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,4,10
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,32,11
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,37,12
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,134,1
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,145,2
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,50,3
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,28,4
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,185,5
2026-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,22,6
