Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,38,2,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,44,2,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,80,3,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,62,3,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,159,4,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,128,4,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,355,5,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,394,5,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,..,6,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,..,6,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,142,1,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,163,1,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,19,2,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,25,2,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,43,3,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,39,3,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,72,4,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,79,4,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,224,5,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,277,5,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,127,1,1
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,128,1,2
2026-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,20,2,1
